Date,Price,Freq,Invoice,DayofWeek,Weekofyear,Quarter
2013-11-29,18232.266733784374,42,765755.2028189437,4,48,4
2013-11-30,18262.53679654,41,748764.00865814,5,48,4
2013-12-01,18370.127627616668,31,569473.9564561167,6,48,4
2013-12-02,18305.0,22,402710.0,0,49,4
2013-12-03,18359.66666666,19,348833.66666653997,1,49,4
2013-12-04,18333.0,18,329994.0,2,49,4
2013-12-05,18570.555555566665,22,408552.2222224666,3,49,4
2013-12-06,18652.594696975,31,578230.435606225,4,49,4
2013-12-07,18368.75,14,257162.5,5,49,4
2013-12-08,18990.0,6,113940.0,6,49,4
2013-12-09,18328.333333333332,8,146626.66666666666,0,50,4
2013-12-10,18240.0,4,72960.0,1,50,4
2013-12-11,18990.0,3,56970.0,2,50,4
2013-12-12,18497.5,5,92487.5,3,50,4
2013-12-13,18490.0,11,203390.0,4,50,4
2013-12-14,18917.777777766667,15,283766.6666665,5,50,4
2013-12-15,18990.0,9,170910.0,6,50,4
2013-12-16,18690.7142857,16,299051.4285712,0,51,4
2013-12-17,19739.55952381,18,355312.07142858,1,51,4
2013-12-18,22527.085109461543,21,473068.7872986924,2,51,4
2013-12-19,22106.35989011667,26,574765.3571430334,3,51,4
2013-12-20,24587.883597877775,21,516345.55555543327,4,51,4
2013-12-21,23129.62962963333,24,555111.1111112,5,51,4
2013-12-22,22115.0,17,375955.0,6,51,4
2013-12-23,22658.80952381428,24,543811.4285715427,0,52,4
2013-12-24,25543.84615384,29,740771.53846136,1,52,4
2013-12-25,23473.981481483333,22,516427.59259263333,2,52,4
2013-12-26,23045.611111116665,27,622231.50000015,3,52,4
2013-12-27,24545.555555550003,28,687275.5555554001,4,52,4
2013-12-28,24383.888888899997,34,829052.2222225999,5,52,4
2013-12-29,24540.61904762,27,662596.7142857399,6,52,4
2013-12-30,22997.5,27,620932.5,0,1,4
2013-12-31,25220.76923075,23,580077.69230725,1,1,4
2014-01-01,25490.0,4,101960.0,2,1,1
2014-01-02,27990.0,10,279900.0,3,1,1
2014-01-03,25490.0,16,407840.0,4,1,1
2014-01-04,23990.0,10,239900.0,5,1,1
2014-01-05,27989.925,15,419848.875,6,1,1
2014-01-06,21328.333333333332,11,234611.66666666666,0,2,1
2014-01-07,22995.0,10,229950.0,1,2,1
2014-01-08,22997.5,9,206977.5,2,2,1
2014-01-09,22997.5,6,137985.0,3,2,1
2014-01-10,25490.0,5,127450.0,4,2,1
2014-01-11,26990.0,7,188930.0,5,2,1
2014-01-12,22497.5,4,89990.0,6,2,1
2014-01-13,22661.666666666668,9,203955.0,0,3,1
2014-01-14,27490.0,2,54980.0,1,3,1
2014-01-15,22490.0,2,44980.0,2,3,1
2014-01-16,24740.0,6,148440.0,3,3,1
2014-01-17,26990.0,4,107960.0,4,3,1
2014-01-18,23328.333333333332,6,139970.0,5,3,1
2014-01-19,23328.333333333332,8,186626.66666666666,6,3,1
2014-01-20,21497.5,4,85990.0,0,4,1
2014-01-21,24990.0,8,199920.0,1,4,1
2014-01-22,21497.5,5,107487.5,2,4,1
2014-01-23,24990.0,4,99960.0,3,4,1
2014-01-24,23990.0,8,191920.0,4,4,1
2014-01-25,23990.0,6,143940.0,5,4,1
2014-01-26,22490.0,3,67470.0,6,4,1
2014-01-28,23990.0,4,95960.0,1,5,1
2014-01-29,20212.222222233333,5,101061.11111116667,2,5,1
2014-01-30,23990.0,6,143940.0,3,5,1
2014-01-31,23323.333333333332,7,163263.3333333333,4,5,1
2014-02-01,18990.0,4,75960.0,5,5,1
2014-02-02,18990.0,3,56970.0,6,5,1
2014-02-03,18990.0,3,56970.0,0,6,1
2014-02-04,18990.0,1,18990.0,1,6,1
2014-02-05,18497.5,15,277462.5,2,6,1
2014-02-06,18990.0,17,322830.0,3,6,1
2014-02-07,18495.0,20,369900.0,4,6,1
2014-02-08,18497.5,29,536427.5,5,6,1
2014-02-09,18990.0,22,417780.0,6,6,1
2014-02-10,17865.0,24,428760.0,0,7,1
2014-02-11,18497.5,19,351452.5,1,7,1
2014-02-12,18990.0,13,246870.0,2,7,1
2014-02-13,18490.0,18,332820.0,3,7,1
2014-02-14,18990.0,21,398790.0,4,7,1
2014-02-15,18497.5,13,240467.5,5,7,1
2014-02-16,18990.0,6,113940.0,6,7,1
2014-02-17,18990.0,5,94950.0,0,8,1
2014-02-18,18990.0,5,94950.0,1,8,1
2014-02-19,18989.96875,18,341819.4375,2,8,1
2014-02-20,18497.5,17,314457.5,3,8,1
2014-02-21,18990.0,23,436770.0,4,8,1
2014-02-22,19995.0,26,519870.0,5,8,1
2014-02-23,18497.5,14,258965.0,6,8,1
2014-02-24,19156.666666650002,13,249036.66666645004,0,9,1
2014-02-25,18497.5,12,221970.0,1,9,1
2014-02-26,18497.5,16,295960.0,2,9,1
2014-02-27,18990.0,14,265860.0,3,9,1
2014-02-28,18828.333333333332,17,320081.6666666666,4,9,1
2014-03-01,18497.5,15,277462.5,5,9,1
2014-03-02,18497.5,16,295960.0,6,9,1
2014-03-03,18990.0,12,227880.0,0,10,1
2014-03-04,18497.5,12,221970.0,1,10,1
2014-03-05,20101.111111100003,14,281415.55555540003,2,10,1
2014-03-06,20156.666666666668,8,161253.33333333334,3,10,1
2014-03-07,19990.0,7,139930.0,4,10,1
2014-03-08,19990.0,7,139930.0,5,10,1
2014-03-09,19990.0,7,139930.0,6,10,1
2014-03-10,20990.0,1,20990.0,0,11,1
2014-03-11,20990.0,1,20990.0,1,11,1
2014-03-12,20990.0,2,41980.0,2,11,1
2014-03-13,20990.0,1,20990.0,3,11,1
2014-03-14,20990.0,1,20990.0,4,11,1
2014-03-16,23990.0,1,23990.0,6,11,1
2014-03-17,20990.0,1,20990.0,0,12,1
2014-03-18,17990.0,1,17990.0,1,12,1
