Date,Price,Freq,Invoice,DayofWeek,Weekofyear,Quarter
2013-11-22,2658.95,14,37225.299999999996,4,47,4
2013-11-23,2799.0,20,55980.0,5,47,4
2013-11-24,2799.0,19,53181.0,6,47,4
2013-11-25,2799.0,35,97965.0,0,48,4
2013-11-26,2548.0,26,66248.0,1,48,4
2013-11-27,2799.0,21,58779.0,2,48,4
2013-11-28,2782.3333333333335,28,77905.33333333334,3,48,4
2013-11-29,2565.8157616893336,173,443886.1267722547,4,48,4
2013-11-30,2560.79166666625,117,299612.6249999512,5,48,4
2013-12-01,2693.6,76,204713.6,6,48,4
2013-12-02,2642.6,56,147985.6,0,49,4
2013-12-03,2729.0,98,267442.0,1,49,4
2013-12-04,2553.2,91,232341.19999999998,2,49,4
2013-12-05,2500.8333333333335,116,290096.6666666667,3,49,4
2013-12-06,2736.5,123,336589.5,4,49,4
2013-12-07,2553.503125,107,273224.83437500003,5,49,4
2013-12-08,2604.75,73,190146.75,6,49,4
2013-12-09,2449.3333333333335,52,127365.33333333334,0,50,4
2013-12-10,2510.96,72,180789.12,1,50,4
2013-12-11,2395.575,60,143734.5,2,50,4
2013-12-12,2541.6,50,127080.0,3,50,4
2013-12-13,2517.1660714285713,92,231579.27857142856,4,50,4
2013-12-14,2617.25,99,259107.75,5,50,4
2013-12-15,2799.0,72,201528.0,6,50,4
2013-12-16,2673.5,80,213880.0,0,51,4
2013-12-17,2673.5,74,197839.0,1,51,4
2013-12-18,2503.5714285714284,104,260371.42857142855,2,51,4
2013-12-19,2589.9625,130,336695.125,3,51,4
2013-12-20,2302.0,108,248616.0,4,51,4
2013-12-21,2371.4666666666662,126,298804.79999999993,5,51,4
2013-12-22,2512.3522727272725,111,278871.10227272724,6,51,4
2013-12-23,2382.375,96,228708.0,0,52,4
2013-12-24,2355.75,113,266199.75,1,52,4
2013-12-25,2498.8571428571427,110,274874.2857142857,2,52,4
2013-12-26,2359.061111111111,118,278369.2111111111,3,52,4
2013-12-27,2296.0,122,280112.0,4,52,4
2013-12-28,2403.8602564099997,166,399040.80256405997,5,52,4
2013-12-29,2311.1666666666665,141,325874.5,6,52,4
2013-12-30,2340.65,144,337053.60000000003,0,1,4
2013-12-31,2493.8722222222223,145,361611.47222222225,1,1,4
2014-01-01,2599.0,31,80569.0,2,1,1
2014-01-02,2287.0,97,221839.0,3,1,1
2014-01-03,2449.3333333333335,75,183700.0,4,1,1
2014-01-04,2311.1666666666665,81,187204.5,5,1,1
2014-01-05,2359.0,79,186361.0,6,1,1
2014-01-06,2493.3571428571427,61,152094.7857142857,0,2,1
2014-01-07,2349.0,46,108054.0,1,2,1
2014-01-08,2366.214285714286,64,151437.7142857143,2,2,1
2014-01-09,2436.777777777778,45,109655.0,3,2,1
2014-01-10,2694.0,43,115842.0,4,2,1
2014-01-11,2799.0,52,145548.0,5,2,1
2014-01-12,2519.1428571428573,45,113361.42857142858,6,2,1
2014-01-13,2573.6,37,95223.2,0,3,1
2014-01-14,2617.25,38,99455.5,1,3,1
2014-01-15,2577.75,33,85065.75,2,3,1
2014-01-16,2600.2,68,176813.59999999998,3,3,1
2014-01-17,2699.0,59,159241.0,4,3,1
2014-01-18,2673.5,74,197839.0,5,3,1
2014-01-19,2493.6,58,144628.8,6,3,1
2014-01-20,2370.75,32,75864.0,0,4,1
2014-01-21,2699.0,45,121455.0,1,4,1
2014-01-22,2435.3333333333335,49,119331.33333333334,2,4,1
2014-01-23,2624.2,41,107592.2,3,4,1
2014-01-24,2483.714285714286,55,136604.2857142857,4,4,1
2014-01-25,2528.9944444444445,73,184616.59444444446,5,4,1
2014-01-26,2559.0,54,138186.0,6,4,1
2014-01-27,2799.0,33,92367.0,0,5,1
2014-01-28,2799.0,32,89568.0,1,5,1
2014-01-29,2599.0,37,96163.0,2,5,1
2014-01-30,2699.0,42,113358.0,3,5,1
2014-01-31,2799.0,51,142749.0,4,5,1
2014-02-01,2599.0,59,153341.0,5,5,1
2014-02-02,2515.3333333333335,51,128282.00000000001,6,5,1
2014-02-03,2139.0,32,68448.0,0,6,1
2014-02-04,1939.0,45,87255.0,1,6,1
2014-02-05,2330.466666667,97,226055.266666699,2,6,1
2014-02-06,2074.9,98,203340.2,3,6,1
2014-02-07,2396.6190476185716,86,206109.23809519716,4,6,1
2014-02-08,2335.033333333,138,322234.599999954,5,6,1
2014-02-09,2351.8571428571427,98,230481.99999999997,6,6,1
2014-02-10,2170.820868347647,94,204057.16162467882,0,7,1
2014-02-11,2040.1708887605262,91,185655.5508772079,1,7,1
2014-02-12,2079.404761905,87,180908.214285735,2,7,1
2014-02-13,2007.7274509800002,85,170656.83333330002,3,7,1
2014-02-14,2097.769230769231,106,222363.53846153847,4,7,1
2014-02-15,2029.5,134,271953.0,5,7,1
2014-02-16,2141.8571428571427,81,173490.42857142855,6,7,1
2014-02-17,2196.0,78,171288.0,0,8,1
2014-02-18,2014.5,72,145044.0,1,8,1
2014-02-19,2227.0,109,242743.0,2,8,1
2014-02-20,2166.047619047643,104,225268.95238095487,3,8,1
2014-02-21,2224.1515151518183,163,362536.6969697464,4,8,1
2014-02-22,2037.0,170,346290.0,5,8,1
2014-02-23,2221.5454545454545,132,293244.0,6,8,1
2014-02-24,2214.3,69,152786.7,0,9,1
2014-02-25,2229.3076923076924,83,185032.53846153847,1,9,1
2014-02-26,2198.275,82,180258.55000000002,2,9,1
2014-02-27,2211.25,86,190167.5,3,9,1
2014-02-28,2210.0,97,214370.0,4,9,1
2014-03-01,2139.5,130,278135.0,5,9,1
2014-03-02,2206.75,94,207434.5,6,9,1
2014-03-03,2149.0,76,163324.0,0,10,1
2014-03-04,2104.6666666666665,66,138908.0,1,10,1
2014-03-05,2315.641666666667,60,138938.5,2,10,1
2014-03-06,2169.125,82,177868.25,3,10,1
2014-03-07,1877.25,78,146425.5,4,10,1
2014-03-08,2154.0,97,208938.0,5,10,1
2014-03-09,2180.5714285714284,100,218057.14285714284,6,10,1
2014-03-10,2198.6666666666665,70,153906.66666666666,0,11,1
2014-03-11,2166.5,40,86660.0,1,11,1
2014-03-12,2217.8975,50,110894.875,2,11,1
2014-03-13,2190.0,46,100740.0,3,11,1
2014-03-14,2190.0,50,109500.0,4,11,1
2014-03-15,2223.9625,75,166797.1875,5,11,1
